module,total_files,candidate_files,high_priority_files,mid_priority_files,candidate_ratio,file_path,file_priority,why_candidate
registration,145,70,10,60,48.3%,registration/include/pcl/registration/impl/correspondence_estimation.hpp,high,循环6处，数学/几何计算密集，建议优先优化
registration,145,70,10,60,48.3%,registration/include/pcl/registration/impl/correspondence_estimation_backprojection.hpp,high,循环4处，数学/几何计算密集，建议优先优化
registration,145,70,10,60,48.3%,registration/include/pcl/registration/impl/correspondence_estimation_normal_shooting.hpp,high,循环4处，数学/几何计算密集，建议优先优化
registration,145,70,10,60,48.3%,registration/include/pcl/registration/impl/gicp.hpp,high,循环24处，数学/几何计算密集，建议优先优化
registration,145,70,10,60,48.3%,registration/include/pcl/registration/impl/ia_fpcs.hpp,high,循环24处，数学/几何计算密集，建议优先优化
registration,145,70,10,60,48.3%,registration/include/pcl/registration/impl/ia_kfpcs.hpp,high,循环10处，数学/几何计算密集，建议优先优化
registration,145,70,10,60,48.3%,registration/include/pcl/registration/impl/icp.hpp,high,循环7处，数学/几何计算密集，建议优先优化
registration,145,70,10,60,48.3%,registration/include/pcl/registration/impl/joint_icp.hpp,high,循环13处，数学/几何计算密集，建议优先优化
registration,145,70,10,60,48.3%,registration/include/pcl/registration/impl/ndt.hpp,high,循环10处，数学/几何计算密集，建议优先优化
registration,145,70,10,60,48.3%,registration/include/pcl/registration/impl/ndt_2d.hpp,high,循环13处，数学/几何计算密集，建议优先优化
registration,145,70,10,60,48.3%,registration/include/pcl/registration/bfgs.h,mid,存在可向量化路径（循环3，数学项29），建议次优先
registration,145,70,10,60,48.3%,registration/include/pcl/registration/correspondence_estimation.h,mid,存在可向量化路径（循环0，数学项4），建议次优先
registration,145,70,10,60,48.3%,registration/include/pcl/registration/correspondence_estimation_backprojection.h,mid,存在可向量化路径（循环0，数学项2），建议次优先
registration,145,70,10,60,48.3%,registration/include/pcl/registration/correspondence_estimation_normal_shooting.h,mid,存在可向量化路径（循环0，数学项2），建议次优先
registration,145,70,10,60,48.3%,registration/include/pcl/registration/correspondence_estimation_organized_projection.h,mid,存在可向量化路径（循环0，数学项7），建议次优先
registration,145,70,10,60,48.3%,registration/include/pcl/registration/correspondence_rejection_features.h,mid,存在可向量化路径（循环0，数学项8），建议次优先
registration,145,70,10,60,48.3%,registration/include/pcl/registration/correspondence_rejection_poly.h,mid,存在可向量化路径（循环3，数学项0），建议次优先
registration,145,70,10,60,48.3%,registration/include/pcl/registration/correspondence_rejection_sample_consensus.h,mid,存在可向量化路径（循环0，数学项3），建议次优先
registration,145,70,10,60,48.3%,registration/include/pcl/registration/correspondence_rejection_sample_consensus_2d.h,mid,存在可向量化路径（循环0，数学项2），建议次优先
registration,145,70,10,60,48.3%,registration/include/pcl/registration/default_convergence_criteria.h,mid,存在可向量化路径（循环1，数学项3），建议次优先
registration,145,70,10,60,48.3%,registration/include/pcl/registration/elch.h,mid,存在可向量化路径（循环0，数学项4），建议次优先
registration,145,70,10,60,48.3%,registration/include/pcl/registration/gicp.h,mid,存在可向量化路径（循环1，数学项29），建议次优先
registration,145,70,10,60,48.3%,registration/include/pcl/registration/ia_fpcs.h,mid,存在可向量化路径（循环0，数学项4），建议次优先
registration,145,70,10,60,48.3%,registration/include/pcl/registration/ia_kfpcs.h,mid,存在可向量化路径（循环0，数学项2），建议次优先
registration,145,70,10,60,48.3%,registration/include/pcl/registration/ia_ransac.h,mid,存在可向量化路径（循环0，数学项2），建议次优先
registration,145,70,10,60,48.3%,registration/include/pcl/registration/icp.h,mid,存在可向量化路径（循环2，数学项3），建议次优先
registration,145,70,10,60,48.3%,registration/include/pcl/registration/impl/correspondence_estimation_organized_projection.hpp,mid,存在可向量化路径（循环1，数学项4），建议次优先
registration,145,70,10,60,48.3%,registration/include/pcl/registration/impl/correspondence_rejection_poly.hpp,mid,存在可向量化路径（循环8，数学项3），建议次优先
registration,145,70,10,60,48.3%,registration/include/pcl/registration/impl/correspondence_rejection_sample_consensus.hpp,mid,存在可向量化路径（循环4，数学项1），建议次优先
registration,145,70,10,60,48.3%,registration/include/pcl/registration/impl/correspondence_rejection_sample_consensus_2d.hpp,mid,存在可向量化路径（循环3，数学项2），建议次优先
registration,145,70,10,60,48.3%,registration/include/pcl/registration/impl/correspondence_types.hpp,mid,存在可向量化路径（循环3，数学项1），建议次优先
registration,145,70,10,60,48.3%,registration/include/pcl/registration/impl/elch.hpp,mid,存在可向量化路径（循环13，数学项17），建议次优先
registration,145,70,10,60,48.3%,registration/include/pcl/registration/impl/ia_ransac.hpp,mid,存在可向量化路径（循环5，数学项4），建议次优先
registration,145,70,10,60,48.3%,registration/include/pcl/registration/impl/lum.hpp,mid,存在可向量化路径（循环9，数学项42），建议次优先
registration,145,70,10,60,48.3%,registration/include/pcl/registration/impl/pairwise_graph_registration.hpp,mid,存在可向量化路径（循环1，数学项3），建议次优先
registration,145,70,10,60,48.3%,registration/include/pcl/registration/impl/ppf_registration.hpp,mid,存在可向量化路径（循环12，数学项39），建议次优先
registration,145,70,10,60,48.3%,registration/include/pcl/registration/impl/pyramid_feature_matching.hpp,mid,存在可向量化路径（循环13，数学项4），建议次优先
registration,145,70,10,60,48.3%,registration/include/pcl/registration/impl/registration.hpp,mid,存在可向量化路径（循环3，数学项6），建议次优先
registration,145,70,10,60,48.3%,registration/include/pcl/registration/impl/sample_consensus_prerejective.hpp,mid,存在可向量化路径（循环6，数学项6），建议次优先
registration,145,70,10,60,48.3%,registration/include/pcl/registration/impl/transformation_estimation_2D.hpp,mid,存在可向量化路径（循环0，数学项16），建议次优先
registration,145,70,10,60,48.3%,registration/include/pcl/registration/impl/transformation_estimation_3point.hpp,mid,存在可向量化路径（循环0，数学项17），建议次优先
registration,145,70,10,60,48.3%,registration/include/pcl/registration/impl/transformation_estimation_dual_quaternion.hpp,mid,存在可向量化路径（循环3，数学项15），建议次优先
registration,145,70,10,60,48.3%,registration/include/pcl/registration/impl/transformation_estimation_lm.hpp,mid,存在可向量化路径（循环6，数学项17），建议次优先
registration,145,70,10,60,48.3%,registration/include/pcl/registration/impl/transformation_estimation_point_to_plane_lls.hpp,mid,存在可向量化路径（循环2，数学项4），建议次优先
registration,145,70,10,60,48.3%,registration/include/pcl/registration/impl/transformation_estimation_point_to_plane_lls_weighted.hpp,mid,存在可向量化路径（循环2，数学项3），建议次优先
registration,145,70,10,60,48.3%,registration/include/pcl/registration/impl/transformation_estimation_point_to_plane_weighted.hpp,mid,存在可向量化路径（循环7，数学项13），建议次优先
registration,145,70,10,60,48.3%,registration/include/pcl/registration/impl/transformation_estimation_svd.hpp,mid,存在可向量化路径（循环2，数学项32），建议次优先
registration,145,70,10,60,48.3%,registration/include/pcl/registration/impl/transformation_estimation_svd_scale.hpp,mid,存在可向量化路径（循环2，数学项24），建议次优先
registration,145,70,10,60,48.3%,registration/include/pcl/registration/impl/transformation_estimation_symmetric_point_to_plane_lls.hpp,mid,存在可向量化路径（循环1，数学项15），建议次优先
registration,145,70,10,60,48.3%,registration/include/pcl/registration/impl/transformation_validation_euclidean.hpp,mid,存在可向量化路径（循环2，数学项2），建议次优先
registration,145,70,10,60,48.3%,registration/include/pcl/registration/incremental_registration.h,mid,存在可向量化路径（循环1，数学项0），建议次优先
registration,145,70,10,60,48.3%,registration/include/pcl/registration/joint_icp.h,mid,存在可向量化路径（循环0，数学项0），建议次优先
registration,145,70,10,60,48.3%,registration/include/pcl/registration/lum.h,mid,存在可向量化路径（循环1，数学项14），建议次优先
registration,145,70,10,60,48.3%,registration/include/pcl/registration/meta_registration.h,mid,存在可向量化路径（循环1，数学项0），建议次优先
registration,145,70,10,60,48.3%,registration/include/pcl/registration/ndt.h,mid,存在可向量化路径（循环0，数学项45），建议次优先
registration,145,70,10,60,48.3%,registration/include/pcl/registration/ndt_2d.h,mid,存在可向量化路径（循环0，数学项10），建议次优先
registration,145,70,10,60,48.3%,registration/include/pcl/registration/pairwise_graph_registration.h,mid,存在可向量化路径（循环0，数学项0），建议次优先
registration,145,70,10,60,48.3%,registration/include/pcl/registration/ppf_registration.h,mid,存在可向量化路径（循环0，数学项9），建议次优先
registration,145,70,10,60,48.3%,registration/include/pcl/registration/registration.h,mid,存在可向量化路径（循环1，数学项7），建议次优先
registration,145,70,10,60,48.3%,registration/include/pcl/registration/sample_consensus_prerejective.h,mid,存在可向量化路径（循环0，数学项1），建议次优先
